profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,49.305,0x70B,6,2,,3.0461891106486227,0.75,3,4,3,10,0.7999876692620788
generic-event,事件附近变化,49.305,0x70B,7,3,,3.0461891106486227,0.75,3,4,3,10,0.6000020005834222
generic-event,事件附近变化,49.179,0x709,4,7,,3.928894851871751,0.5,2,4,5,13,0.9755525869673657
generic-event,事件附近变化,49.163,0x609,2,0,,3.3243366395962872,0.5,2,4,89,283,8.809281870130464
generic-event,事件附近变化,48.839,0x609,3,1,,3.2714796272869924,0.5,2,4,95,307,5.003421708655016
generic-event,事件附近变化,48.837,0x609,1,0,,3.2436447433517506,0.5,2,4,85,277,8.060112375000493
generic-event,事件附近变化,48.431,0x268,0,3,DI_systemPower,5.748995338969064,0.5,2,4,3,5,1.1657019845423606
generic-event,事件附近变化,48.281,0x609,4,0,,3.0537022906633067,0.5,2,4,78,270,8.823059701831154
generic-event,事件附近变化,48.158,0x310,2,3,HVP_info,3.0461891106486227,0.75,3,4,3,10,0.599889403200905
generic-event,事件附近变化,48.158,0x310,3,1,HVP_info,3.0461891106486227,0.75,3,4,3,10,0.8000520419972234
generic-event,事件附近变化,48.158,0x310,3,4,HVP_info,3.0461891106486227,0.75,3,4,3,10,0.599889403200905
generic-event,事件附近变化,47.855,0x318,7,7,UTC_systemTime,3.401928870754062,0.5,2,4,4,12,0.5524235934991003
generic-event,事件附近变化,47.827,0x3DD,4,0,,4.705199492984963,0.5,2,4,2,4,0.9026505402142396
generic-event,事件附近变化,46.323,0x321,3,0,VCFRONT_sensors,3.751714661119779,0.5,2,4,3,8,1.053690611894672
generic-event,事件附近变化,46.323,0x321,3,1,VCFRONT_sensors,3.751714661119779,0.5,2,4,3,8,1.053690611894672
generic-event,事件附近变化,46.323,0x321,3,2,VCFRONT_sensors,3.751714661119779,0.5,2,4,3,8,1.053690611894672
generic-event,事件附近变化,46.159,0x319,2,0,VCSEC_info,4.705199492984963,0.5,2,4,2,4,0.9464302432645658
generic-event,事件附近变化,44.800,0x400,2,4,,3.8702386922471477,0.5,2,4,2,5,0.6067188811426374
generic-event,事件附近变化,44.496,0x709,2,5,,3.928894851871751,0.5,2,4,5,13,1.1112543698010509
generic-event,事件附近变化,44.057,0x23A,7,2,,3.8702386922471477,0.5,2,4,2,5,0.6566606638495723
generic-event,事件附近变化,44.057,0x23A,7,4,,3.8702386922471477,0.5,2,4,2,5,0.6566606638495723
generic-event,事件附近变化,44.035,0x319,4,7,VCSEC_info,3.8702386922471477,0.5,2,4,2,5,0.3333830710273063
generic-event,事件附近变化,44.035,0x319,5,5,VCSEC_info,3.8702386922471477,0.5,2,4,2,5,0.428615873979135
generic-event,事件附近变化,44.035,0x319,5,6,VCSEC_info,3.8702386922471477,0.5,2,4,2,5,0.3333830710273063
generic-event,事件附近变化,44.035,0x319,7,0,VCSEC_info,3.8702386922471477,0.5,2,4,2,5,0.3333830710273063
generic-event,事件附近变化,43.834,0x315,6,4,DI_temperature,3.856791795053799,0.5,2,4,6,16,1.0477677741612539
generic-event,事件附近变化,43.638,0x23A,4,4,,3.751714661119779,0.5,2,4,3,8,1.0079627095711572
generic-event,事件附近变化,43.638,0x23A,4,5,,3.751714661119779,0.5,2,4,3,8,0.957859629012063
generic-event,事件附近变化,42.871,0x726,2,2,,3.286952753537655,0.5,2,4,2,6,0.9790916258980674
generic-event,事件附近变化,42.871,0x726,2,5,,3.286952753537655,0.5,2,4,2,6,0.9790916258980674
generic-event,事件附近变化,42.871,0x726,2,6,,3.286952753537655,0.5,2,4,2,6,0.9790916258980674
generic-event,事件附近变化,42.503,0x361,0,1,,3.362340136212571,0.5,2,4,3,9,1.092459951876214
generic-event,事件附近变化,41.500,0x335,2,7,DIS_info,3.0461891106486227,0.5,2,4,3,10,0.8599704436778511
generic-event,事件附近变化,41.500,0x335,3,4,DIS_info,3.0461891106486227,0.5,2,4,3,10,0.8599704436778511
generic-event,事件附近变化,36.314,0x672,0,0,,8.911925339606748,0.75,3,4,3,3,1.7434479967575293e-05
generic-event,事件附近变化,36.314,0x672,5,0,,8.911925339606748,0.75,3,4,3,3,1.7434479967575293e-05
generic-event,事件附近变化,33.312,0x310,0,0,HVP_info,4.46114410229511,1.0,4,4,4,9,0.0002536704387825628
generic-event,事件附近变化,33.312,0x310,6,2,HVP_info,4.46114410229511,1.0,4,4,4,9,0.0002536704387825628
generic-event,事件附近变化,33.312,0x310,6,7,HVP_info,4.46114410229511,1.0,4,4,4,9,0.0002536704387825628
generic-event,事件附近变化,32.854,0x319,0,5,VCSEC_info,8.911925339606748,0.75,3,4,3,3,0.04707194716235857
generic-event,事件附近变化,32.854,0x319,5,2,VCSEC_info,8.911925339606748,0.75,3,4,3,3,0.04707194716235857
generic-event,事件附近变化,32.854,0x319,7,4,VCSEC_info,8.911925339606748,0.75,3,4,3,3,0.04707194716235857
generic-event,事件附近变化,28.611,0x330,0,3,SCCM_info,4.882560886322924,0.75,3,4,3,6,5.171704055629793e-05
generic-event,事件附近变化,28.611,0x330,0,4,SCCM_info,4.882560886322924,0.75,3,4,3,6,5.171704055629793e-05
generic-event,事件附近变化,27.285,0x1E5,7,7,,6.8754987623952495,0.5,2,4,114,175,0.03134596382441298
