rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
11,13.422,0x401,BMS_brickVoltages,BMS_brick17,V,45.000,松开制动踏板,yes,44.521600,-0.478400,3.2838,3.2839
12,13.422,0x401,BMS_brickVoltages,BMS_brick2,V,20.000,打开驾驶门,yes,19.422400,-0.577600,3.2846,3.2845
12,13.422,0x401,BMS_brickVoltages,BMS_brick2,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.422300,-0.577700,3.2844,3.2845
12,13.422,0x401,BMS_brickVoltages,BMS_brick2,V,40.000,踩下制动踏板5秒,yes,40.422600,+0.422600,3.2845,3.2841
12,13.422,0x401,BMS_brickVoltages,BMS_brick2,V,45.000,松开制动踏板,yes,45.422700,+0.422700,3.2841,3.2842
13,13.421,0x401,BMS_brickVoltages,BMS_brick62,V,20.000,打开驾驶门,yes,19.821300,-0.178700,3.2844,3.2845
13,13.421,0x401,BMS_brickVoltages,BMS_brick62,V,30.000,坐入驾驶位并关闭驾驶门,yes,29.821500,-0.178500,3.2843,3.2844
13,13.421,0x401,BMS_brickVoltages,BMS_brick62,V,40.000,踩下制动踏板5秒,yes,40.822000,+0.822000,3.2844,3.2839
13,13.421,0x401,BMS_brickVoltages,BMS_brick62,V,45.000,松开制动踏板,yes,45.822100,+0.822100,3.284,3.2841
14,13.380,0x38D,TAS_warningMatrix3,TAS_w137_shortCircuitFL,,20.000,打开驾驶门,yes,20.292600,+0.292600,0,1
14,13.380,0x38D,TAS_warningMatrix3,TAS_w137_shortCircuitFL,,30.000,坐入驾驶位并关闭驾驶门,yes,30.293000,+0.293000,0,1
14,13.380,0x38D,TAS_warningMatrix3,TAS_w137_shortCircuitFL,,40.000,踩下制动踏板5秒,yes,40.293500,+0.293500,0,1
14,13.380,0x38D,TAS_warningMatrix3,TAS_w137_shortCircuitFL,,45.000,松开制动踏板,yes,45.293700,+0.293700,1,0
15,13.303,0x401,BMS_brickVoltages,BMS_brick100,V,20.000,打开驾驶门,yes,20.081700,+0.081700,3.2841,3.284
