profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,52.583,0x70B,6,2,,3.7556179054429744,0.4666666666666667,7,15,14,14,0.8239344746102225
window,按钮事件:手动未知方向触发,52.583,0x70B,6,2,,3.7556179054429744,0.4666666666666667,7,15,14,14,0.8239344746102225
generic-event,事件附近变化,51.488,0x1D8,1,4,DIS_torque,3.353171250228114,0.5333333333333333,8,15,99,117,4.628965709766988
window,按钮事件:手动未知方向触发,51.488,0x1D8,1,4,DIS_torque,3.353171250228114,0.5333333333333333,8,15,99,117,4.628965709766988
generic-event,事件附近变化,51.477,0x272,3,6,VCLEFT_epbmDebug,20.34728012535224,0.13333333333333333,2,15,16,2,3.2120935086148426
window,按钮事件:手动未知方向触发,51.477,0x272,3,6,VCLEFT_epbmDebug,20.34728012535224,0.13333333333333333,2,15,16,2,3.2120935086148426
generic-event,事件附近变化,50.308,0x1D8,1,5,DIS_torque,3.7609224304291518,0.4666666666666667,7,15,47,49,3.164061979209345
window,按钮事件:手动未知方向触发,50.308,0x1D8,1,5,DIS_torque,3.7609224304291518,0.4666666666666667,7,15,47,49,3.164061979209345
generic-event,事件附近变化,50.253,0x22B,3,2,,9.626825461115233,0.26666666666666666,4,15,5,1,1.2056743005240484
window,按钮事件:手动未知方向触发,50.253,0x22B,3,2,,9.626825461115233,0.26666666666666666,4,15,5,1,1.2056743005240484
generic-event,事件附近变化,49.780,0x272,2,5,VCLEFT_epbmDebug,12.281069955715699,0.13333333333333333,2,15,28,8,3.554630506649421
window,按钮事件:手动未知方向触发,49.780,0x272,2,5,VCLEFT_epbmDebug,12.281069955715699,0.13333333333333333,2,15,28,8,3.554630506649421
generic-event,事件附近变化,49.496,0x126,0,3,DI_hvBusStatus,3.129299938661163,0.5333333333333333,8,15,32,40,2.7558007938649767
window,按钮事件:手动未知方向触发,49.496,0x126,0,3,DI_hvBusStatus,3.129299938661163,0.5333333333333333,8,15,32,40,2.7558007938649767
generic-event,事件附近变化,48.986,0x545,1,2,,3.8477807100415062,0.4,6,15,131,135,6.763654601445582
window,按钮事件:手动未知方向触发,48.986,0x545,1,2,,3.8477807100415062,0.4,6,15,131,135,6.763654601445582
generic-event,事件附近变化,47.821,0x268,1,1,DI_systemPower,4.352102376000112,0.4,6,15,13,11,1.8326386050900372
window,按钮事件:手动未知方向触发,47.821,0x268,1,1,DI_systemPower,4.352102376000112,0.4,6,15,13,11,1.8326386050900372
generic-event,事件附近变化,47.743,0x788,1,5,,9.445700630508775,0.2,3,15,12,4,2.193849360272236
window,按钮事件:手动未知方向触发,47.743,0x788,1,5,,9.445700630508775,0.2,3,15,12,4,2.193849360272236
generic-event,事件附近变化,47.701,0x7D7,1,1,,4.352102376000112,0.4,6,15,13,11,1.832117561461444
window,按钮事件:手动未知方向触发,47.701,0x7D7,1,1,,4.352102376000112,0.4,6,15,13,11,1.832117561461444
generic-event,事件附近变化,47.698,0x1D6,6,6,DI_limits,7.112567169036,0.26666666666666666,4,15,25,13,2.7856282905323204
window,按钮事件:手动未知方向触发,47.698,0x1D6,6,6,DI_limits,7.112567169036,0.26666666666666666,4,15,25,13,2.7856282905323204
generic-event,事件附近变化,47.685,0x388,4,7,GTW_canStatus,9.018163161236682,0.2,3,15,25,10,3.423160132937283
window,按钮事件:手动未知方向触发,47.685,0x388,4,7,GTW_canStatus,9.018163161236682,0.2,3,15,25,10,3.423160132937283
generic-event,事件附近变化,47.685,0x388,5,0,GTW_canStatus,9.018163161236682,0.2,3,15,25,10,3.423160132937283
window,按钮事件:手动未知方向触发,47.685,0x388,5,0,GTW_canStatus,9.018163161236682,0.2,3,15,25,10,3.423160132937283
generic-event,事件附近变化,47.450,0x272,1,3,VCLEFT_epbmDebug,10.087510571660005,0.2,3,15,28,10,3.6252381329115204
window,按钮事件:手动未知方向触发,47.450,0x272,1,3,VCLEFT_epbmDebug,10.087510571660005,0.2,3,15,28,10,3.6252381329115204
generic-event,事件附近变化,47.198,0x126,0,4,DI_hvBusStatus,3.445744499676611,0.4666666666666667,7,15,18,20,2.0367399911348616
window,按钮事件:手动未知方向触发,47.198,0x126,0,4,DI_hvBusStatus,3.445744499676611,0.4666666666666667,7,15,18,20,2.0367399911348616
generic-event,事件附近变化,46.995,0x393,2,5,ID393VCRIGHT_epbmDebug,9.374612298044456,0.13333333333333333,2,15,26,10,3.560330368846475
window,按钮事件:手动未知方向触发,46.995,0x393,2,5,ID393VCRIGHT_epbmDebug,9.374612298044456,0.13333333333333333,2,15,26,10,3.560330368846475
generic-event,事件附近变化,46.791,0x257,4,2,DI_speed,6.9415732157364465,0.2,3,15,7,3,1.5950773964438818
window,按钮事件:手动未知方向触发,46.791,0x257,4,2,DI_speed,6.9415732157364465,0.2,3,15,7,3,1.5950773964438818
generic-event,事件附近变化,46.773,0x132,4,7,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
window,按钮事件:手动未知方向触发,46.773,0x132,4,7,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
generic-event,事件附近变化,46.773,0x132,5,0,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
window,按钮事件:手动未知方向触发,46.773,0x132,5,0,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
generic-event,事件附近变化,46.773,0x132,5,1,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
window,按钮事件:手动未知方向触发,46.773,0x132,5,1,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
generic-event,事件附近变化,46.773,0x132,5,2,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
window,按钮事件:手动未知方向触发,46.773,0x132,5,2,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
generic-event,事件附近变化,46.773,0x132,5,3,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
window,按钮事件:手动未知方向触发,46.773,0x132,5,3,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
generic-event,事件附近变化,46.773,0x132,5,4,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
window,按钮事件:手动未知方向触发,46.773,0x132,5,4,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
generic-event,事件附近变化,46.773,0x132,5,5,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
window,按钮事件:手动未知方向触发,46.773,0x132,5,5,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
generic-event,事件附近变化,46.773,0x132,5,6,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
window,按钮事件:手动未知方向触发,46.773,0x132,5,6,BMS_hvBusStatus,6.568077481524813,0.3333333333333333,5,15,28,16,2.912922235238489
generic-event,事件附近变化,46.423,0x1D6,6,7,DI_limits,8.423350603057804,0.26666666666666666,4,15,17,7,2.150111262763202
window,按钮事件:手动未知方向触发,46.423,0x1D6,6,7,DI_limits,8.423350603057804,0.26666666666666666,4,15,17,7,2.150111262763202
generic-event,事件附近变化,46.101,0x268,0,1,DI_systemPower,3.739017523643431,0.4,6,15,13,13,1.9328737288657145
window,按钮事件:手动未知方向触发,46.101,0x268,0,1,DI_systemPower,3.739017523643431,0.4,6,15,13,13,1.9328737288657145
generic-event,事件附近变化,46.080,0x2B4,4,6,PCS_dcdcBusStatus,3.0498019476857894,0.4,6,15,35,45,3.664079108613188
window,按钮事件:手动未知方向触发,46.080,0x2B4,4,6,PCS_dcdcBusStatus,3.0498019476857894,0.4,6,15,35,45,3.664079108613188
generic-event,事件附近变化,45.713,0x7A8,0,2,,8.661714024428909,0.2,3,15,24,10,3.3869831941182493
window,按钮事件:手动未知方向触发,45.713,0x7A8,0,2,,8.661714024428909,0.2,3,15,24,10,3.3869831941182493
generic-event,事件附近变化,45.123,0x228,2,3,EPBR_internalStatus,5.9940611361660885,0.2,3,15,3,1,0.4648621139113743
window,按钮事件:手动未知方向触发,45.123,0x228,2,3,EPBR_internalStatus,5.9940611361660885,0.2,3,15,3,1,0.4648621139113743
generic-event,事件附近变化,45.120,0x2E8,0,0,EPBR_status,5.9940611361660885,0.2,3,15,3,1,0.4648657049207815
window,按钮事件:手动未知方向触发,45.120,0x2E8,0,0,EPBR_status,5.9940611361660885,0.2,3,15,3,1,0.4648657049207815
generic-event,事件附近变化,45.120,0x2E8,7,0,EPBR_status,5.9940611361660885,0.2,3,15,3,1,0.4648657049207815
window,按钮事件:手动未知方向触发,45.120,0x2E8,7,0,EPBR_status,5.9940611361660885,0.2,3,15,3,1,0.4648657049207815
generic-event,事件附近变化,45.118,0x288,2,3,EPBL_internalStatus,5.9940611361660885,0.2,3,15,3,1,0.46484458281687985
window,按钮事件:手动未知方向触发,45.118,0x288,2,3,EPBL_internalStatus,5.9940611361660885,0.2,3,15,3,1,0.46484458281687985
generic-event,事件附近变化,45.117,0x2A8,0,0,CMPD_state,5.9940611361660885,0.2,3,15,3,1,0.4648484386105902
window,按钮事件:手动未知方向触发,45.117,0x2A8,0,0,CMPD_state,5.9940611361660885,0.2,3,15,3,1,0.4648484386105902
