rank,score,category,can_id,dlc,byte,bit_in_byte,closed_value,open_value,stable_purity,action_hits,unrelated_transitions,median_delay_s
70,40.400,瞬时请求候选,0x70B,8,3,7,0,0,0.7250,6,38,-0.031950
71,40.400,瞬时请求候选,0x70B,8,4,3,0,0,0.6250,6,38,-0.031350
72,40.200,瞬时请求候选,0x332,6,2,0,不一致,不一致,0.6750,6,39,-0.244150
73,40.200,瞬时请求候选,0x75D,8,4,7,0,0,0.9550,6,39,0.887450
74,40.000,瞬时请求候选,0x70B,8,5,4,0,0,0.6500,6,40,-0.030850
75,40.000,瞬时请求候选,0x726,3,0,1,不一致,0,0.6000,6,40,1.205600
76,40.000,瞬时请求候选,0x788,8,6,4,0,0,0.9850,6,40,0.621550
77,40.000,瞬时请求候选,0x7C8,8,2,1,0,0,0.7250,6,40,0.530650
78,40.000,瞬时请求候选,0x7C8,8,3,6,0,0,0.7000,6,40,0.529300
79,40.000,瞬时请求候选,0x7C8,8,3,7,0,0,0.7000,6,40,0.529300
80,40.000,瞬时请求候选,0x7C8,8,4,1,0,0,0.7250,6,40,0.530650
81,40.000,瞬时请求候选,0x7C8,8,4,5,0,0,0.7250,6,40,0.530650
82,40.000,瞬时请求候选,0x7C8,8,5,1,0,0,0.7000,6,40,0.529300
83,40.000,瞬时请求候选,0x7E8,8,5,1,0,0,0.7000,6,40,0.026450
84,40.000,瞬时请求候选,0x7E8,8,5,2,0,0,0.7000,6,40,0.026450
85,40.000,瞬时请求候选,0x7E8,8,5,5,0,0,0.7000,6,40,0.026450
86,39.800,瞬时请求候选,0x330,8,5,0,0,0,0.6762,6,41,0.164600
87,39.800,瞬时请求候选,0x400,7,1,5,不一致,不一致,0.8725,6,41,0.336200
88,39.800,瞬时请求候选,0x70B,8,1,7,0,0,0.6500,6,41,-0.031950
89,39.800,瞬时请求候选,0x70B,8,4,5,不一致,0,0.6000,6,41,-0.031950
90,39.800,瞬时请求候选,0x7C8,8,0,0,1,1,0.5750,6,41,0.530250
91,39.800,瞬时请求候选,0x7C8,8,4,2,不一致,0,0.5750,6,41,0.530250
92,39.800,瞬时请求候选,0x7E8,8,0,0,1,1,0.5750,6,41,0.026450
93,39.600,瞬时请求候选,0x3DD,8,2,1,0,0,0.6500,6,42,0.588750
94,39.600,瞬时请求候选,0x52F,8,6,2,1,0,0.6000,6,42,0.871900
95,39.600,瞬时请求候选,0x7C8,8,0,1,1,1,0.5750,6,42,0.530050
96,39.600,瞬时请求候选,0x7C8,8,1,1,0,0,0.7000,6,42,1.029400
97,39.600,瞬时请求候选,0x7E8,8,0,1,1,1,0.6000,6,42,0.526250
98,39.600,瞬时请求候选,0x7E8,8,1,1,0,0,0.7250,6,42,0.026250
99,39.400,瞬时请求候选,0x330,8,6,4,不一致,不一致,0.5571,6,43,0.164600
100,39.400,瞬时请求候选,0x70B,8,6,4,不一致,不一致,0.5750,6,43,1.468150
101,39.400,瞬时请求候选,0x70B,8,7,4,不一致,不一致,0.5750,6,43,1.468150
102,39.200,瞬时请求候选,0x319,8,0,1,1,1,0.5000,6,44,0.074450
103,39.200,瞬时请求候选,0x330,8,5,6,0,0,0.5905,6,44,0.164600
104,39.200,瞬时请求候选,0x3F2,8,1,4,不一致,1,0.5500,6,44,-0.242950
105,39.000,瞬时请求候选,0x330,8,0,1,1,不一致,0.5571,6,45,1.414450
106,38.800,瞬时请求候选,0x300,8,0,1,1,1,0.5250,6,46,-0.244050
107,38.800,瞬时请求候选,0x300,8,0,2,0,0,0.6500,6,46,-0.244000
108,38.800,瞬时请求候选,0x300,8,1,0,1,1,0.5250,6,46,0.255500
109,38.800,瞬时请求候选,0x300,8,2,2,1,1,0.5250,6,46,-0.244050
110,38.800,瞬时请求候选,0x300,8,2,3,0,0,0.6750,6,46,-0.244050
