profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
window,按钮事件:上升触发,67.722,0x2C2,2,1,EXP_leftWindowExecutionPosition,6.893684249646064,1.0,3,3,11,43,2.8267582203557375
window,按钮事件:手动上升触发,67.503,0x3A2,3,4,,8.20297428806458,1.0,2,2,10,50,4.928960359793294
window,按钮事件:手动下降松开,67.343,0x373,0,1,,4.931101670129677,1.0,2,2,2,16,1.1880882647338944
window,按钮事件:手动上升触发,67.010,0x272,2,0,,5.487760960861993,1.0,2,2,11,83,3.722941940734079
window,按钮事件:手动上升触发,67.005,0x303,1,5,,4.661017117490255,1.0,2,2,2,17,0.6923108482139677
window,按钮事件:手动上升触发,66.934,0x545,1,3,EXP_windowMotionFeedback_LEFT,6.039939945268049,1.0,2,2,16,110,6.1704401509690765
window,按钮事件:上升触发,66.915,0x2C2,3,1,EXP_leftWindowExecutionPosition,3.7676543690152435,1.0,3,3,21,153,5.3720678767288526
window,按钮事件:下降触发,66.522,0x23A,5,6,,19.818897056270075,0.6666666666666666,2,3,3,3,1.1452109575663227
window,按钮事件:下降触发,66.522,0x23A,6,0,,19.818897056270075,0.6666666666666666,2,3,3,3,1.1452109575663227
window,按钮事件:下降触发,66.522,0x23A,6,6,,19.818897056270075,0.6666666666666666,2,3,3,3,1.1452109575663227
window,按钮事件:下降触发,66.522,0x23A,7,5,,19.818897056270075,0.6666666666666666,2,3,3,3,1.1452109575663227
window,按钮事件:手动上升松开,66.491,0x330,3,2,,3.5081381293956455,1.0,2,2,2,23,0.49993793480358717
window,按钮事件:手动下降松开,66.487,0x330,3,2,,3.5081381293956455,1.0,2,2,2,23,0.49993793480358717
window,按钮事件:手动上升触发,66.483,0x373,0,0,,4.4189821913976015,1.0,2,2,2,18,0.8545824754735277
window,按钮事件:上升触发,66.460,0x132,4,4,,5.639735169533464,1.0,3,3,48,234,9.301792108581237
window,按钮事件:上升触发,66.460,0x132,4,5,,5.639735169533464,1.0,3,3,48,234,9.301792108581237
window,按钮事件:手动下降松开,66.336,0x709,2,3,,3.574884816111427,1.0,2,2,4,46,0.895636728297589
window,按钮事件:下降触发,66.285,0x545,1,1,EXP_windowMotionFeedback_LEFT,5.827681339115149,1.0,3,3,19,89,5.117969141067368
window,按钮事件:手动上升触发,66.272,0x3A2,2,0,,5.929632247934176,1.0,2,2,15,105,6.042735178456812
window,按钮事件:手动上升触发,66.269,0x7A8,0,2,,5.8638420125276385,1.0,2,2,7,49,2.903943821102924
window,按钮事件:上升触发,66.179,0x3A2,3,4,,6.754483720762607,1.0,3,3,12,48,4.928960359793294
