session_id,can_id,field,expected_on_direction,on_event_s,on_transition_s,on_before,on_after,on_direction_match,on_delay_s,expected_off_direction,off_event_s,off_transition_s,off_before,off_after,off_direction_match,off_delay_s,total_full_session_transitions
S0014,0x2BF,B5.b4,0->1,60.047898,61.5414,0,1,True,1.493502,1->0,160.054814,161.5478,1,0,True,1.492986,2
S0014,0x2F3,B3.b2,0->1,60.047898,60.3554,0,1,True,0.307502,1->0,160.054814,160.3998,1,0,True,0.344986,2
S0014,0x323,B4.b1,1->0,60.047898,62.4027,1,0,True,2.354802,0->1,160.054814,162.4103,0,1,True,2.355486,2
S0014,0x323,B4.b2,0->1,60.047898,62.4027,0,1,True,2.354802,1->0,160.054814,162.4103,1,0,True,2.355486,2
S0014,0x361,B3.b1,1->0,60.047898,62.3401,1,0,True,2.292202,0->1,160.054814,161.3484,0,1,True,1.293586,2
S0014,0x361,B3.b2,0->1,60.047898,62.3401,0,1,True,2.292202,1->0,160.054814,161.3484,1,0,True,1.293586,2
S0014,0x361,B4.b0,1->0,60.047898,62.3401,1,0,True,2.292202,0->1,160.054814,162.3484,0,1,True,2.293586,8
S0014,0x361,B4.b1,0->1,60.047898,62.3401,0,1,True,2.292202,1->0,160.054814,162.3484,1,0,True,2.293586,8
S0014,0x421,B0.b4,0->1,60.047898,62.1396,0,1,True,2.091702,1->0,160.054814,,,,False,,2
S0014,0x421,B0.b5,0->1,60.047898,62.1396,0,1,True,2.091702,1->0,160.054814,,,,False,,2
S0014,0x421,B0.b7,0->1,60.047898,62.1396,0,1,True,2.091702,1->0,160.054814,,,,False,,2
S0014,0x782,B0.b5,0->1,60.047898,,,,False,,1->0,160.054814,,,,False,,2
S0015,0x1FA,B0.b3,0->1,60.094421,60.124,0,1,True,0.029579,1->0,160.054845,160.4325,1,0,True,0.377655,2
S0015,0x1FA,B0.b4,0->1,60.094421,60.124,0,1,True,0.029579,1->0,160.054845,160.4325,1,0,True,0.377655,2
S0015,0x20C,B1.b3,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B1.b4,0->1,60.094421,60.0657,0,1,True,-0.028721,1->0,160.054845,160.3723,1,0,True,0.317455,2
S0015,0x20C,B4.b1,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B4.b2,0->1,60.094421,60.0657,0,1,True,-0.028721,1->0,160.054845,160.2723,1,0,True,0.217455,10
S0015,0x20C,B4.b3,0->1,60.094421,60.0657,0,1,True,-0.028721,1->0,160.054845,160.2723,1,0,True,0.217455,6
S0015,0x20C,B5.b0,0->1,60.094421,60.7655,0,1,True,0.671079,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B6.b4,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B6.b5,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.2723,1,0,True,0.217455,2
S0015,0x20C,B7.b1,0->1,60.094421,60.6656,0,1,True,0.571179,1->0,160.054845,160.7724,1,0,True,0.717555,10
S0015,0x20C,B7.b2,0->1,60.094421,60.9656,0,1,True,0.871179,1->0,160.054845,160.8724,1,0,True,0.817555,6
S0015,0x20C,B7.b3,0->1,60.094421,61.5656,0,1,True,1.471179,1->0,160.054845,160.9724,1,0,True,0.917555,2
S0015,0x253,B7.b4,1->0,60.094421,60.1913,1,0,True,0.096879,0->1,160.054845,160.3764,0,1,True,0.321555,2
S0015,0x282,B0.b2,0->1,60.094421,60.166,0,1,True,0.071579,1->0,160.054845,160.474,1,0,True,0.419155,2
S0015,0x282,B0.b5,0->1,60.094421,60.8659,0,1,True,0.771479,1->0,160.054845,160.674,1,0,True,0.619155,6
S0015,0x282,B0.b6,0->1,60.094421,61.6661,0,1,True,1.571679,1->0,160.054845,160.7735,1,0,True,0.718655,2
S0015,0x282,B1.b2,0->1,60.094421,61.166,0,1,True,1.071579,1->0,160.054845,160.474,1,0,True,0.419155,2
S0015,0x282,B1.b3,0->1,60.094421,60.2659,0,1,True,0.171479,1->0,160.054845,160.474,1,0,True,0.419155,10
S0015,0x282,B1.b4,0->1,60.094421,60.2659,0,1,True,0.171479,1->0,160.054845,160.474,1,0,True,0.419155,6
S0015,0x282,B2.b1,0->1,60.094421,60.9659,0,1,True,0.871479,1->0,160.054845,160.474,1,0,True,0.419155,2
S0015,0x282,B2.b4,0->1,60.094421,60.366,0,1,True,0.271579,1->0,160.054845,160.8735,1,0,True,0.818655,20
S0015,0x282,B2.b5,0->1,60.094421,60.466,0,1,True,0.371579,1->0,160.054845,160.674,1,0,True,0.619155,22
S0015,0x282,B2.b6,0->1,60.094421,60.466,0,1,True,0.371579,1->0,160.054845,161.074,1,0,True,1.019155,14
S0015,0x282,B3.b3,0->1,60.094421,62.4662,0,1,True,2.371779,1->0,160.054845,160.674,1,0,True,0.619155,2
S0015,0x282,B4.b6,1->0,60.094421,60.466,1,0,True,0.371579,0->1,160.054845,160.8735,0,1,True,0.818655,8
S0015,0x282,B4.b7,1->0,60.094421,60.466,1,0,True,0.371579,0->1,160.054845,160.7735,0,1,True,0.718655,6
S0015,0x282,B5.b0,1->0,60.094421,60.466,1,0,True,0.371579,0->1,160.054845,160.7735,0,1,True,0.718655,4
S0015,0x282,B5.b1,1->0,60.094421,60.466,1,0,True,0.371579,0->1,160.054845,160.7735,0,1,True,0.718655,4
S0015,0x282,B5.b2,0->1,60.094421,60.466,0,1,True,0.371579,1->0,160.054845,160.7735,1,0,True,0.718655,4
S0015,0x282,B6.b3,1->0,60.094421,60.6659,1,0,True,0.571479,0->1,160.054845,160.7735,0,1,True,0.718655,6
S0015,0x282,B6.b4,0->1,60.094421,60.6659,0,1,True,0.571479,1->0,160.054845,160.7735,1,0,True,0.718655,4
S0015,0x289,B1.b4,0->1,60.094421,60.8803,0,1,True,0.785879,1->0,160.054845,160.6876,1,0,True,0.632755,6
S0015,0x289,B2.b3,0->1,60.094421,60.8803,0,1,True,0.785879,1->0,160.054845,160.6876,1,0,True,0.632755,6
S0015,0x289,B3.b2,0->1,60.094421,60.8803,0,1,True,0.785879,1->0,160.054845,160.6876,1,0,True,0.632755,6
S0015,0x2A1,B5.b0,0->1,60.094421,65.0314,0,1,True,4.936979,1->0,160.054845,161.0365,1,0,True,0.981655,2
S0015,0x2A6,B0.b6,0->1,60.094421,65.497,0,1,True,5.402579,1->0,160.054845,161.0963,1,0,True,1.041455,14
S0015,0x2A7,B7.b0,0->1,60.094421,65.4972,0,1,True,5.402779,1->0,160.054845,161.0965,1,0,True,1.041655,2
S0015,0x2A7,B7.b2,1->0,60.094421,65.4972,1,0,True,5.402779,0->1,160.054845,161.0965,0,1,True,1.041655,2
S0015,0x2BF,B5.b3,0->1,60.094421,65.121,0,1,True,5.026579,1->0,160.054845,161.1253,1,0,True,1.070455,2
S0015,0x2BF,B5.b4,0->1,60.094421,62.121,0,1,True,2.026579,1->0,160.054845,161.1253,1,0,True,1.070455,2
S0015,0x2F3,B3.b2,0->1,60.094421,59.8577,0,1,True,-0.236721,1->0,160.054845,160.1435,1,0,True,0.088655,2
S0015,0x323,B4.b1,1->0,60.094421,61.9848,1,0,True,1.890379,0->1,160.054845,161.9906,0,1,True,1.935755,2
S0015,0x323,B4.b2,0->1,60.094421,61.9848,0,1,True,1.890379,1->0,160.054845,161.9906,1,0,True,1.935755,2
S0015,0x361,B3.b1,1->0,60.094421,62.9193,1,0,True,2.824879,0->1,160.054845,161.9258,0,1,True,1.870955,2
S0015,0x361,B3.b2,0->1,60.094421,62.9193,0,1,True,2.824879,1->0,160.054845,161.9258,1,0,True,1.870955,2
S0015,0x361,B4.b0,1->0,60.094421,62.9193,1,0,True,2.824879,0->1,160.054845,161.9258,0,1,True,1.870955,2
S0015,0x361,B4.b1,0->1,60.094421,62.9193,0,1,True,2.824879,1->0,160.054845,161.9258,1,0,True,1.870955,2
S0015,0x421,B0.b4,0->1,60.094421,65.7193,0,1,True,5.624879,1->0,160.054845,,,,False,,2
S0015,0x421,B0.b5,0->1,60.094421,65.7193,0,1,True,5.624879,1->0,160.054845,,,,False,,2
S0015,0x421,B0.b7,0->1,60.094421,65.7193,0,1,True,5.624879,1->0,160.054845,,,,False,,2
S0015,0x782,B0.b5,0->1,60.094421,,,,False,,1->0,160.054845,,,,False,,2
S0016,0x1FA,B0.b3,0->1,60.085494,60.266,0,1,True,0.180506,1->0,160.084906,160.2734,1,0,True,0.188494,2
S0016,0x1FA,B0.b4,0->1,60.085494,60.266,0,1,True,0.180506,1->0,160.084906,160.2734,1,0,True,0.188494,2
S0016,0x20C,B1.b3,0->1,60.085494,60.1078,0,1,True,0.022306,1->0,160.084906,160.1146,1,0,True,0.029694,2
