event_id,action,plan_time_s,status,session_script_time_us,skip_script_time_us,clock_iso,clock_epoch_ms
E01,"开始采集",0,triggered,68647,,"2026-09-11T13:48:44.962+08:00",1789105724962
E02,"打开制冷并记录",60,triggered,60104697,,"2026-09-11T13:49:44.998+08:00",1789105784998
E03,"记录空调运行情况",120,triggered,120058458,,"2026-09-11T13:50:44.951+08:00",1789105844951
E04,"记录出风情况",240,triggered,240105671,,"2026-09-11T13:52:44.999+08:00",1789105964999
E05,"再次记录出风情况",360,triggered,360071543,,"2026-09-11T13:54:44.965+08:00",1789106084965
E06,"关闭空调并记录",480,triggered,480017649,,"2026-09-11T13:56:44.911+08:00",1789106204911
E07,"记录关闭状态",540,triggered,540000465,,"2026-09-11T13:57:44.893+08:00",1789106264893
E08,"结束采集",660,triggered,660076936,,"2026-09-11T13:59:44.970+08:00",1789106384970
