profile,role,score,can_id,byte,bit_in_byte,dbc_message,activity_enrichment,event_coverage,event_hits,event_total,inside_transitions,outside_transitions,period_cv
generic-event,事件附近变化,73.980,0x266,4,1,DI_power,5.566076519237485,1.0,2,2,33,185,6.063145151319498
window,按钮事件:手动未知方向松开,73.980,0x266,4,1,DI_power,5.566076519237485,1.0,2,2,33,185,6.063145151319498
generic-event,事件附近变化,73.792,0x2B4,2,4,PCS_dcdcBusStatus,6.583441101335403,1.0,2,2,4,18,3.918069504493867
window,按钮事件:手动未知方向松开,73.792,0x2B4,2,4,PCS_dcdcBusStatus,6.583441101335403,1.0,2,2,4,18,3.918069504493867
generic-event,事件附近变化,73.792,0x2B4,2,5,PCS_dcdcBusStatus,6.583441101335403,1.0,2,2,4,18,3.918069504493867
window,按钮事件:手动未知方向松开,73.792,0x2B4,2,5,PCS_dcdcBusStatus,6.583441101335403,1.0,2,2,4,18,3.918069504493867
generic-event,事件附近变化,73.727,0x2D7,1,5,,6.241769044212845,1.0,2,2,2,9,1.3626849351714414
window,按钮事件:手动未知方向松开,73.727,0x2D7,1,5,,6.241769044212845,1.0,2,2,2,9,1.3626849351714414
generic-event,事件附近变化,73.380,0x108,4,0,DI_torque,4.921939704845354,1.0,2,2,8,50,3.010680995390293
window,按钮事件:手动未知方向松开,73.380,0x108,4,0,DI_torque,4.921939704845354,1.0,2,2,8,50,3.010680995390293
generic-event,事件附近变化,73.362,0x23E,1,2,,6.519958341127228,1.0,2,2,5,23,3.793783423903591
window,按钮事件:手动未知方向松开,73.362,0x23E,1,2,,6.519958341127228,1.0,2,2,5,23,3.793783423903591
generic-event,事件附近变化,73.362,0x23E,1,3,,6.519958341127228,1.0,2,2,5,23,3.585365219290668
window,按钮事件:手动未知方向松开,73.362,0x23E,1,3,,6.519958341127228,1.0,2,2,5,23,3.585365219290668
generic-event,事件附近变化,73.362,0x23E,2,0,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,2,0,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,2,6,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,2,6,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,4,0,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,4,0,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,4,1,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,4,1,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,4,3,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,4,3,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,4,4,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,4,4,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,4,5,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,4,5,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
generic-event,事件附近变化,73.362,0x23E,4,6,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
window,按钮事件:手动未知方向松开,73.362,0x23E,4,6,,6.519958341127228,1.0,2,2,5,23,3.5822234534155966
