event_id,event_time_s,signal_key,can_id,value,native_sample_time_s,sample_age_s,sampling_rule
E04,474.271300,HVP_hvilStatus,0x20A,STATUS_OK,473.323300,0.948000,latest past sample; never future fill
E04,474.271300,HVP_packContNegativeState,0x20A,OPEN,473.323300,0.948000,latest past sample; never future fill
E04,474.271300,HVP_packContPositiveState,0x20A,PRECHARGE,473.323300,0.948000,latest past sample; never future fill
E04,474.271300,PCS_dcdcMainState,0x224,STANDBY,474.176500,0.094800,latest past sample; never future fill
E04,474.271300,PCS_dcdc12VSupportStatus,0x224,IDLE,474.176500,0.094800,latest past sample; never future fill
E04,474.271300,PCS_dcdcLvBusVolt,0x2B4,8.359375,474.177000,0.094300,latest past sample; never future fill
E05,474.323300,VCLEFT_frontLatchStatus,0x102,CLOSED,474.313000,0.010300,latest past sample; never future fill
E05,474.323300,UI_readyForDrive,0x353,0,474.293900,0.029400,latest past sample; never future fill
E05,474.323300,BMS_hvState,0x212,DOWN,474.271300,0.052000,latest past sample; never future fill
E05,474.323300,BMS_contactorState,0x212,CLOSED,474.271300,0.052000,latest past sample; never future fill
E05,474.323300,BMS_packVoltage,0x132,353.55,474.315700,0.007600,latest past sample; never future fill
E05,474.323300,PCS_dcdcHvBusVolt,0x2B4,187.646484,474.277000,0.046300,latest past sample; never future fill
E05,474.323300,HVP_hvilStatus,0x20A,STATUS_OK,474.323300,0.000000,latest past sample; never future fill
E05,474.323300,HVP_packContNegativeState,0x20A,ECONOMIZED,474.323300,0.000000,latest past sample; never future fill
E05,474.323300,HVP_packContPositiveState,0x20A,ECONOMIZED,474.323300,0.000000,latest past sample; never future fill
E05,474.323300,PCS_dcdcMainState,0x224,STANDBY,474.276500,0.046800,latest past sample; never future fill
E05,474.323300,PCS_dcdc12VSupportStatus,0x224,ACTIVE,474.276500,0.046800,latest past sample; never future fill
E05,474.323300,PCS_dcdcLvBusVolt,0x2B4,8.75,474.277000,0.046300,latest past sample; never future fill
E06,477.030200,VCLEFT_frontLatchStatus,0x102,CLOSED,477.013200,0.017000,latest past sample; never future fill
E06,477.030200,UI_readyForDrive,0x353,1,477.030200,0.000000,latest past sample; never future fill
E06,477.030200,BMS_hvState,0x212,DOWN,476.972200,0.058000,latest past sample; never future fill
E06,477.030200,BMS_contactorState,0x212,CLOSED,476.972200,0.058000,latest past sample; never future fill
E06,477.030200,BMS_packVoltage,0x132,353.65,477.025700,0.004500,latest past sample; never future fill
E06,477.030200,PCS_dcdcHvBusVolt,0x2B4,178.271484,476.978700,0.051500,latest past sample; never future fill
E06,477.030200,HVP_hvilStatus,0x20A,STATUS_OK,476.323600,0.706600,latest past sample; never future fill
E06,477.030200,HVP_packContNegativeState,0x20A,ECONOMIZED,476.323600,0.706600,latest past sample; never future fill
E06,477.030200,HVP_packContPositiveState,0x20A,ECONOMIZED,476.323600,0.706600,latest past sample; never future fill
E06,477.030200,PCS_dcdcMainState,0x224,STANDBY,476.978500,0.051700,latest past sample; never future fill
E06,477.030200,PCS_dcdc12VSupportStatus,0x224,ACTIVE,476.978500,0.051700,latest past sample; never future fill
E06,477.030200,PCS_dcdcLvBusVolt,0x2B4,10.390625,476.978700,0.051500,latest past sample; never future fill
E07,500.738600,VCLEFT_frontLatchStatus,0x102,OPENED,500.738600,0.000000,latest past sample; never future fill
E07,500.738600,UI_readyForDrive,0x353,1,500.464900,0.273700,latest past sample; never future fill
