signal,time_s,value
BMS_packVoltage,1.6315,347.29
BMS_packVoltage,1.6416,347.12
BMS_packVoltage,1.6515,347.31
BMS_packVoltage,1.6615,347.15000000000003
BMS_packVoltage,1.6715,347.31
BMS_packVoltage,1.6819,347.42
BMS_packVoltage,1.6915,347.22
BMS_packVoltage,1.7015,347.12
BMS_packVoltage,1.7115,347.1
BMS_packVoltage,1.7215,347.21
BMS_packVoltage,1.7315,347.26
BMS_packVoltage,1.7417,347.24
BMS_packVoltage,1.7515,347.33
BMS_packVoltage,1.7616,347.2
BMS_packVoltage,1.7715,347.22
BMS_packVoltage,1.7819,347.08
BMS_packVoltage,1.7915,347.09000000000003
BMS_packVoltage,1.8015,347.22
BMS_packVoltage,1.8115,347.15000000000003
BMS_packVoltage,1.8216,347.34000000000003
BMS_packVoltage,1.8315,347.1
BMS_packVoltage,1.8418,347.15000000000003
BMS_packVoltage,1.8515,347.22
BMS_packVoltage,1.8615,347.28000000000003
BMS_packVoltage,1.8715,347.13
BMS_packVoltage,1.8815,347.17
BMS_packVoltage,1.8917,347.29
BMS_packVoltage,1.9015,347.17
BMS_packVoltage,1.9115,347.21
BMS_packVoltage,1.9215,347.22
BMS_packVoltage,1.9315,347.25
BMS_packVoltage,1.9416,347.28000000000003
BMS_packVoltage,1.9515,347.19
BMS_packVoltage,1.9616,347.25
BMS_packVoltage,1.9715,347.28000000000003
BMS_packVoltage,1.9817,347.25
BMS_packVoltage,1.9916,347.29
BMS_packVoltage,2.0015,347.34000000000003
BMS_packVoltage,2.0115,347.13
BMS_packVoltage,2.0215,347.22
BMS_packVoltage,2.0315,347.12
BMS_packVoltage,2.0418,347.35
BMS_packVoltage,2.0516,347.15000000000003
BMS_packVoltage,2.0615,347.34000000000003
BMS_packVoltage,2.0715,347.26
BMS_packVoltage,2.0817,347.16
BMS_packVoltage,2.0915,347.31
BMS_packVoltage,2.1015,347.16
BMS_packVoltage,2.1115,347.24
BMS_packVoltage,2.1215,347.15000000000003
BMS_packVoltage,2.1315,347.3
BMS_packVoltage,2.1416,347.14
BMS_packVoltage,2.1515,347.3
BMS_packVoltage,2.1616,347.12
BMS_packVoltage,2.1715,347.17
BMS_packVoltage,2.1817,347.28000000000003
BMS_packVoltage,2.1916,347.22
BMS_packVoltage,2.2016,347.25
BMS_packVoltage,2.2115,347.25
BMS_packVoltage,2.2215,347.13
BMS_packVoltage,2.2315,347.21
BMS_packVoltage,2.2416,347.23
BMS_packVoltage,2.2517,347.22
BMS_packVoltage,2.2615,347.23
BMS_packVoltage,2.2715,347.15000000000003
BMS_packVoltage,2.2817,347.13
BMS_packVoltage,2.2915,347.2
BMS_packVoltage,2.3015,347.33
BMS_packVoltage,2.3115,347.28000000000003
BMS_packVoltage,2.3215,347.37
BMS_packVoltage,2.3315,347.28000000000003
BMS_packVoltage,2.3418,347.12
BMS_packVoltage,2.3516,347.22
BMS_packVoltage,2.3616,347.34000000000003
BMS_packVoltage,2.3715,347.24
BMS_packVoltage,2.3817,347.31
BMS_packVoltage,2.3915,347.22
BMS_packVoltage,2.4015,347.24
BMS_packVoltage,2.4115,347.26
BMS_packVoltage,2.4215,347.24
BMS_packVoltage,2.4316,347.23
BMS_packVoltage,2.4417,347.25
BMS_packVoltage,2.4515,347.18
BMS_packVoltage,2.4618,347.25
BMS_packVoltage,2.4715,347.19
BMS_packVoltage,2.4816,347.28000000000003
BMS_packVoltage,2.4918,347.25
BMS_packVoltage,2.5018,347.21
BMS_packVoltage,2.5115,347.24
BMS_packVoltage,2.5215,347.22
BMS_packVoltage,2.5315,347.08
BMS_packVoltage,2.5417,347.28000000000003
BMS_packVoltage,2.5515,347.14
BMS_packVoltage,2.5617,347.28000000000003
BMS_packVoltage,2.5715,347.35
BMS_packVoltage,2.5817,347.28000000000003
BMS_packVoltage,2.5915,347.2
BMS_packVoltage,2.6015,347.15000000000003
BMS_packVoltage,2.6116,347.24
BMS_packVoltage,2.6215,347.26
BMS_packVoltage,2.6315,347.11
BMS_packVoltage,2.6417,347.25
BMS_packVoltage,2.6515,347.31
BMS_packVoltage,2.6617,347.12
BMS_packVoltage,2.6715,347.36
BMS_packVoltage,2.6817,347.21
BMS_packVoltage,2.6915,347.2
BMS_packVoltage,2.7015,347.26
BMS_packVoltage,2.7115,347.28000000000003
BMS_packVoltage,2.7215,347.27
BMS_packVoltage,2.7316,347.22
BMS_packVoltage,2.7418,347.27
BMS_packVoltage,2.7515,347.25
BMS_packVoltage,2.7616,347.32
BMS_packVoltage,2.7715,347.2
BMS_packVoltage,2.7817,347.22
BMS_packVoltage,2.7917,347.18
BMS_packVoltage,2.8015,347.27
BMS_packVoltage,2.8115,347.22
BMS_packVoltage,2.8216,347.12
BMS_packVoltage,2.8315,347.28000000000003
BMS_packVoltage,2.8418,347.27
BMS_packVoltage,2.8515,347.26
BMS_packVoltage,2.8615,347.18
BMS_packVoltage,2.8715,347.28000000000003
BMS_packVoltage,2.8815,347.15000000000003
BMS_packVoltage,2.8918,347.26
BMS_packVoltage,2.9015,347.23
BMS_packVoltage,2.9116,347.3
BMS_packVoltage,2.9215,347.28000000000003
BMS_packVoltage,2.9316,347.17
BMS_packVoltage,2.9416,347.21
BMS_packVoltage,2.9515,347.11
BMS_packVoltage,2.9617,347.22
BMS_packVoltage,2.9717,347.2
BMS_packVoltage,2.982,347.33
BMS_packVoltage,2.9917,347.14
BMS_packVoltage,3.0015,347.25
BMS_packVoltage,3.0115,347.29
BMS_packVoltage,3.0215,347.14
BMS_packVoltage,3.0315,347.02
BMS_packVoltage,3.0416,347.19
BMS_packVoltage,3.0516,347.17
BMS_packVoltage,3.0615,347.18
BMS_packVoltage,3.0715,347.07
BMS_packVoltage,3.0817,347.2
BMS_packVoltage,3.0916,347.27
BMS_packVoltage,3.1015,347.41
BMS_packVoltage,3.1115,347.33
BMS_packVoltage,3.1215,347.23
BMS_packVoltage,3.1315,347.25
BMS_packVoltage,3.1416,347.22
BMS_packVoltage,3.1515,347.27
BMS_packVoltage,3.1617,347.24
BMS_packVoltage,3.1716,347.2
BMS_packVoltage,3.1817,347.35
BMS_packVoltage,3.1916,347.35
BMS_packVoltage,3.2016,347.09000000000003
BMS_packVoltage,3.2116,347.29
BMS_packVoltage,3.2215,347.21
BMS_packVoltage,3.2315,347.22
BMS_packVoltage,3.2417,347.27
BMS_packVoltage,3.2515,347.15000000000003
BMS_packVoltage,3.2615,347.25
BMS_packVoltage,3.2715,347.31
BMS_packVoltage,3.2817,347.25
BMS_packVoltage,3.2916,347.16
BMS_packVoltage,3.3015,347.12
BMS_packVoltage,3.3116,347.13
BMS_packVoltage,3.3215,347.31
BMS_packVoltage,3.3315,347.17
BMS_packVoltage,3.3416,347.32
BMS_packVoltage,3.3516,347.24
BMS_packVoltage,3.3616,347.26
BMS_packVoltage,3.3715,347.14
BMS_packVoltage,3.3817,347.2
BMS_packVoltage,3.3916,347.27
BMS_packVoltage,3.4015,347.29
BMS_packVoltage,3.4116,347.18
BMS_packVoltage,3.4215,347.34000000000003
BMS_packVoltage,3.4316,347.27
BMS_packVoltage,3.4416,347.22
BMS_packVoltage,3.4515,347.16
BMS_packVoltage,3.4617,347.3
BMS_packVoltage,3.4715,347.24
BMS_packVoltage,3.4819,347.27
BMS_packVoltage,3.4918,347.15000000000003
BMS_packVoltage,3.5018,347.19
BMS_packVoltage,3.5116,347.28000000000003
BMS_packVoltage,3.5215,347.12
BMS_packVoltage,3.5316,347.17
BMS_packVoltage,3.5416,347.19
BMS_packVoltage,3.5515,347.15000000000003
BMS_packVoltage,3.5617,347.28000000000003
BMS_packVoltage,3.5715,347.29
BMS_packVoltage,3.5817,347.17
BMS_packVoltage,3.5916,347.21
BMS_packVoltage,3.6016,347.22
BMS_packVoltage,3.6116,347.21
BMS_packVoltage,3.6216,347.29
BMS_packVoltage,3.6316,347.27
BMS_packVoltage,3.6416,347.23
BMS_packVoltage,3.6515,347.19
BMS_packVoltage,3.6616,347.18
BMS_packVoltage,3.6715,347.31
BMS_packVoltage,3.6821,347.19
BMS_packVoltage,3.6916,347.33
BMS_packVoltage,3.7016,347.25
BMS_packVoltage,3.7116,347.32
BMS_packVoltage,3.7216,347.21
BMS_packVoltage,3.7316,347.19
BMS_packVoltage,3.7416,347.17
BMS_packVoltage,3.7515,347.21
BMS_packVoltage,3.7617,347.26
BMS_packVoltage,3.7715,347.31
BMS_packVoltage,3.7818,347.22
BMS_packVoltage,3.7916,347.2
BMS_packVoltage,3.8016,347.21
BMS_packVoltage,3.8116,347.26
BMS_packVoltage,3.8215,347.40000000000003
BMS_packVoltage,3.8316,347.25
BMS_packVoltage,3.8416,347.23
BMS_packVoltage,3.8515,347.39
BMS_packVoltage,3.8616,347.12
BMS_packVoltage,3.8715,347.23
BMS_packVoltage,3.8816,347.11
BMS_packVoltage,3.8918,347.24
BMS_packVoltage,3.9016,347.3
BMS_packVoltage,3.9116,347.25
BMS_packVoltage,3.9216,347.13
BMS_packVoltage,3.9316,346.99
BMS_packVoltage,3.9417,347.17
BMS_packVoltage,3.9516,347.22
BMS_packVoltage,3.9617,347.2
BMS_packVoltage,3.9718,347.2
BMS_packVoltage,3.982,347.12
BMS_packVoltage,3.9917,347.12
BMS_packVoltage,4.0016,347.08
BMS_packVoltage,4.0116,347.15000000000003
BMS_packVoltage,4.0216,347.23
BMS_packVoltage,4.0316,347.17
BMS_packVoltage,4.0416,347.25
BMS_packVoltage,4.0516,347.2
BMS_packVoltage,4.0616,347.0
BMS_packVoltage,4.0716,347.22
BMS_packVoltage,4.0818,347.2
BMS_packVoltage,4.0916,347.19
BMS_packVoltage,4.1016,347.2
BMS_packVoltage,4.1116,347.03000000000003
BMS_packVoltage,4.1216,347.15000000000003
BMS_packVoltage,4.1316,347.27
BMS_packVoltage,4.1416,347.15000000000003
