rank,score,can_id,message,signal,unit,step_time_s,step,matched,change_time_s,offset_s,before,after
1,12.890,0x332,BMS_bmbMinMax,BMS_brickNumVoltageMax,,100.000,第三次松开制动踏板,yes,99.978700,-0.021300,9,103
1,12.890,0x332,BMS_bmbMinMax,BMS_brickNumVoltageMax,,130.000,第四次松开制动踏板,yes,129.979900,-0.020100,106,103
2,12.849,0x75D,CP_sensorData,CP_doorLastRequestMaxI,A,40.000,第一次松开制动踏板,yes,39.682200,-0.317800,0.015,7.6975
2,12.849,0x75D,CP_sensorData,CP_doorLastRequestMaxI,A,70.000,第二次松开制动踏板,yes,70.484300,+0.484300,7.695,0.02
2,12.849,0x75D,CP_sensorData,CP_doorLastRequestMaxI,A,100.000,第三次松开制动踏板,yes,99.886300,-0.113700,7.695,5.135
2,12.849,0x75D,CP_sensorData,CP_doorLastRequestMaxI,A,130.000,第四次松开制动踏板,yes,130.696400,+0.696400,0.015,7.6975
3,12.808,0x75D,CP_sensorData,CP_doorI,A,40.000,第一次松开制动踏板,yes,39.682200,-0.317800,10.03,4.91
3,12.808,0x75D,CP_sensorData,CP_doorI,A,70.000,第二次松开制动踏板,yes,70.484300,+0.484300,8.75,3.63
3,12.808,0x75D,CP_sensorData,CP_doorI,A,100.000,第三次松开制动踏板,yes,99.886300,-0.113700,7.47,6.83
3,12.808,0x75D,CP_sensorData,CP_doorI,A,130.000,第四次松开制动踏板,yes,130.696400,+0.696400,8.75,1.07
4,12.719,0x38D,TAS_warningMatrix3,TAS_w139_shortCircuitRL,,40.000,第一次松开制动踏板,yes,39.875000,-0.125000,1,0
4,12.719,0x38D,TAS_warningMatrix3,TAS_w139_shortCircuitRL,,70.000,第二次松开制动踏板,yes,70.876900,+0.876900,0,1
4,12.719,0x38D,TAS_warningMatrix3,TAS_w139_shortCircuitRL,,100.000,第三次松开制动踏板,yes,99.878000,-0.122000,0,1
4,12.719,0x38D,TAS_warningMatrix3,TAS_w139_shortCircuitRL,,130.000,第四次松开制动踏板,yes,129.878800,-0.121200,1,0
5,12.676,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarBPressureHpa,,40.000,第一次松开制动踏板,yes,40.059300,+0.059300,49164,49165
5,12.676,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarBPressureHpa,,70.000,第二次松开制动踏板,yes,69.661800,-0.338200,59406,59405
5,12.676,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarBPressureHpa,,100.000,第三次松开制动踏板,yes,100.063500,+0.063500,59405,49164
5,12.676,0x4E2,VCLEFT_seatStatus,VCLEFT_lumbarBPressureHpa,,130.000,第四次松开制动踏板,yes,129.665800,-0.334200,59408,59407
6,12.578,0x401,BMS_brickVoltages,BMS_brick14,V,40.000,第一次松开制动踏板,yes,40.066600,+0.066600,3.2838,3.2839
6,12.578,0x401,BMS_brickVoltages,BMS_brick14,V,70.000,第二次松开制动踏板,yes,70.067900,+0.067900,3.2838,3.284
6,12.578,0x401,BMS_brickVoltages,BMS_brick14,V,100.000,第三次松开制动踏板,yes,100.067700,+0.067700,3.2838,3.2837
6,12.578,0x401,BMS_brickVoltages,BMS_brick14,V,130.000,第四次松开制动踏板,yes,130.068300,+0.068300,3.2838,3.2839
7,12.436,0x401,BMS_brickVoltages,BMS_brick39,V,40.000,第一次松开制动踏板,yes,40.246700,+0.246700,3.2836,3.2837
7,12.436,0x401,BMS_brickVoltages,BMS_brick39,V,70.000,第二次松开制动踏板,yes,70.247800,+0.247800,3.2836,3.2837
7,12.436,0x401,BMS_brickVoltages,BMS_brick39,V,100.000,第三次松开制动踏板,yes,100.248400,+0.248400,3.2834,3.2835
7,12.436,0x401,BMS_brickVoltages,BMS_brick39,V,130.000,第四次松开制动踏板,yes,130.249100,+0.249100,3.2836,3.2837
8,12.391,0x401,BMS_brickVoltages,BMS_brick20,V,40.000,第一次松开制动踏板,yes,40.106800,+0.106800,3.2846,3.2847
8,12.391,0x401,BMS_brickVoltages,BMS_brick20,V,70.000,第二次松开制动踏板,yes,70.108300,+0.108300,3.2846,3.2847
8,12.391,0x401,BMS_brickVoltages,BMS_brick20,V,100.000,第三次松开制动踏板,yes,100.108400,+0.108400,3.2846,3.2845
8,12.391,0x401,BMS_brickVoltages,BMS_brick20,V,130.000,第四次松开制动踏板,yes,130.108600,+0.108600,3.2845,3.2847
9,12.298,0x401,BMS_brickVoltages,BMS_brick34,V,40.000,第一次松开制动踏板,yes,40.206500,+0.206500,3.2844,3.2843
9,12.298,0x401,BMS_brickVoltages,BMS_brick34,V,70.000,第二次松开制动踏板,yes,70.208000,+0.208000,3.2842,3.2843
9,12.298,0x401,BMS_brickVoltages,BMS_brick34,V,100.000,第三次松开制动踏板,yes,100.208400,+0.208400,3.2842,3.2841
9,12.298,0x401,BMS_brickVoltages,BMS_brick34,V,130.000,第四次松开制动踏板,yes,130.208400,+0.208400,3.2843,3.2844
10,12.285,0x401,BMS_brickVoltages,BMS_brick26,V,40.000,第一次松开制动踏板,yes,40.146500,+0.146500,3.2841,3.284
10,12.285,0x401,BMS_brickVoltages,BMS_brick26,V,70.000,第二次松开制动踏板,yes,70.148100,+0.148100,3.2841,3.284
10,12.285,0x401,BMS_brickVoltages,BMS_brick26,V,100.000,第三次松开制动踏板,yes,100.148600,+0.148600,3.2839,3.2841
10,12.285,0x401,BMS_brickVoltages,BMS_brick26,V,130.000,第四次松开制动踏板,yes,129.148400,-0.851600,3.2841,3.284
