can_id,frame_count,asc_dlcs,first_seen_s,last_seen_s,source_last_seen_s
0x360,2958,8,0.082900,295.803400,295.803400
0x361,295,5,0.975900,294.994900,294.994900
0x362,296,3,0.246000,295.266500,295.266500
0x364,294,4,0.780300,293.764500,293.764500
0x366,62,8,0.241200,61.243300,61.243300
0x372,4434,8,0.003800,295.590700,295.590700
0x373,168,8,0.122200,167.057000,167.057000
0x379,2958,8,0.023100,295.743900,295.743900
0x37A,2958,8,0.037800,295.758100,295.758100
0x37D,294,8,0.451500,293.472200,293.472200
0x381,8214,8,0.007900,295.695900,295.695900
0x382,296,5,0.104100,295.124500,295.124500
0x383,2957,8,0.054600,295.675400,295.675400
0x38A,2958,8,0.051100,295.771900,295.771900
0x38B,144,8,0.747300,143.040000,143.040000
0x38D,144,8,0.332800,143.339900,143.339900
0x390,168,2,0.071600,167.008900,167.008900
0x392,592,8,0.041400,295.544400,295.544400
0x393,2958,8,0.018400,295.739400,295.739400
0x399,295,3,0.768000,294.788700,294.788700
0x39A,2958,8,0.058100,295.778900,295.778900
0x39B,291,8,0.057500,143.615200,143.615200
0x39D,2248,5,0.034700,89.917400,89.917400
0x3A1,5914,8,0.008100,295.677000,295.677000
0x3A2,8964,8,0.016300,295.815400,295.815400
0x3A3,2958,8,0.012500,295.733400,295.733400
0x3A4,294,8,0.780600,293.764700,293.764700
0x3A8,1479,8,0.062300,295.682400,295.682400
0x3AA,589,8,0.267000,294.268000,294.268000
0x3AB,8856,8,29.858200,295.526900,295.526900
0x3AE,3798,8,0.034100,143.686600,143.686600
0x3B2,915,8,0.241400,295.447700,295.447700
0x3B3,339,8,0.321300,167.257000,167.257000
0x3BB,168,3,0.421200,167.356300,167.356300
0x3BC,167,4,0.871500,166.809000,166.809000
0x3BD,296,8,0.575900,295.595000,295.595000
0x3C0,2957,8,0.094400,295.715400,295.715400
0x3C2,5917,8,0.012100,295.832600,295.832600
0x3C3,2957,8,0.042600,295.663400,295.663400
0x3C4,352,8,2.379700,293.864300,293.864300
0x3C8,2958,8,0.007300,295.731700,295.731700
0x3C9,296,8,0.058400,295.079400,295.079400
0x3CC,288,8,0.050600,143.557100,143.557100
0x3D2,296,8,0.395500,295.402200,295.402200
0x3D3,296,3,0.308700,295.329700,295.329700
0x3D8,170,4,0.121600,167.057600,167.057600
0x3DB,591,8,0.416400,295.438000,295.438000
0x3DD,294,8,0.452400,293.472700,293.472700
0x3DF,339,8,0.221200,167.656700,167.656700
0x3E2,1482,7,0.012300,295.832400,295.832400
0x3E3,1481,4,0.042800,295.663500,295.663500
0x3E8,2959,8,0.004800,295.828100,295.828100
0x3E9,291,8,0.097300,143.654800,143.654800
0x3ED,296,1,0.304200,295.326700,295.326700
0x3F2,296,8,0.395700,295.402400,295.402400
0x3F5,2963,8,0.053800,295.672100,295.672100
0x3F6,304,8,0.377000,295.395000,295.395000
0x3F9,2957,8,0.079400,295.699900,295.699900
0x3FD,1005,8,0.371500,167.408000,167.408000
0x400,1437,7,0.032400,143.639900,143.639900
0x401,10636,8,0.004500,295.590900,295.590900
0x405,1182,8,0.054100,295.327900,295.327900
0x407,287,8,0.494000,143.499800,143.499800
0x409,1437,1,0.028600,143.635000,143.635000
0x40A,1479,8,0.111900,295.732400,295.732400
0x414,1182,8,0.054300,295.328400,295.328400
0x419,1437,1,0.088500,143.695200,143.695200
0x41D,2943,1,0.054700,294.272400,294.272400
0x420,1438,8,0.005600,143.712000,143.712000
0x421,2957,7,0.074900,295.693900,295.693900
0x422,2958,6,0.045900,295.766400,295.766400
0x423,2957,7,0.060400,295.681300,295.681300
0x428,2958,7,0.044800,295.767400,295.767400
0x42A,1479,8,0.117000,295.736900,295.736900
0x42E,296,8,0.445800,295.448000,295.448000
0x42F,296,7,0.446300,295.448200,295.448200
0x439,2958,8,0.007100,295.727900,295.727900
0x43B,1183,8,0.166900,295.686900,295.686900
0x43D,2943,6,0.054900,294.272600,294.272600
0x441,5914,8,0.024000,295.693100,295.693100
0x443,591,6,0.377200,295.396100,295.396100
0x448,2958,7,0.041700,295.764100,295.764100
0x452,296,3,0.396300,295.402600,295.402600
0x453,168,4,0.071100,167.006500,167.006500
0x458,2956,7,0.002500,295.525500,295.525500
0x45A,5915,8,0.026700,295.747600,295.747600
0x45B,30,2,3.977800,293.997200,293.997200
0x472,296,8,0.397300,295.402800,295.402800
0x473,359,8,0.320800,167.256300,167.256300
0x481,6,3,33.365800,34.630400,34.630400
0x482,182,3+5+8,153.400800,153.855500,153.855500
0x492,296,7,0.397500,295.403000,295.403000
0x49D,2943,7,0.055100,294.273600,294.273600
0x4E2,2958,8,0.031900,295.752400,295.752400
0x4E3,2958,8,0.030400,295.751400,295.751400
0x4F3,335,4,0.271300,167.209300,167.209300
0x509,30,5,3.876100,293.894800,293.894800
0x518,2,2,160.193900,295.603700,295.603700
0x522,1,2,30.226200,30.226200,30.226200
0x528,296,4,0.305300,295.326600,295.326600
0x52F,296,8,0.303600,295.326200,295.326200
0x534,4,8,29.870000,294.156900,294.156900
0x53E,175,8,0.451700,290.472000,290.472000
0x545,8960,8,0.028900,295.696200,295.696200
0x549,30,6,1.378000,291.396100,291.396100
0x54F,419,8,0.094100,41.895500,41.895500
0x550,1,8,153.993500,153.993500,153.993500
0x552,2958,8,0.038900,295.759400,295.759400
0x553,2957,8,0.048400,295.669400,295.669400
0x55A,1182,8,0.055400,295.328900,295.328900
0x55D,1,8,30.217000,30.217000,30.217000
0x5F3,168,3,0.321400,167.258200,167.258200
0x61D,336,8,0.021400,167.456300,167.456300
0x666,1182,4,0.055500,295.329100,295.329100
0x672,29,8,6.378400,286.395800,286.395800
0x677,7392,8,0.036400,295.696400,295.696400
0x682,2943,8,0.070600,294.274400,294.274400
0x6C8,296,8,0.694000,295.717900,295.717900
0x6E8,296,8,0.141700,295.164300,295.164300
0x708,296,5,0.361000,295.385300,295.385300
0x709,957,8,0.237800,295.408400,295.408400
0x70A,30,5,3.963000,293.982300,293.982300
0x70B,295,8,0.807000,294.828500,294.828500
0x712,1772,8,0.043100,295.544900,295.544900
0x718,1479,7,0.077700,295.696800,295.696800
0x719,5916,8,0.016800,295.786900,295.786900
0x720,30,5,3.918400,293.936700,293.936700
0x724,296,3,0.475800,295.494900,295.494900
0x726,296,3,0.530100,295.550300,295.550300
0x727,296,2,0.641600,295.661300,295.661300
0x72A,59,8,4.397900,294.403300,294.403300
0x737,296,7,0.075900,295.094900,295.094900
0x739,296,5,0.200200,295.221000,295.221000
0x743,295,1,0.972400,294.993200,294.993200
0x744,296,1,0.813800,295.834300,295.834300
0x748,295,5,0.808800,294.832000,294.832000
0x752,295,8,0.733600,294.740600,294.740600
0x75D,1471,8,0.154900,294.172300,294.172300
0x77A,589,8,0.267300,294.268600,294.268600
0x782,104,8,2.641700,294.547000,294.547000
0x788,2958,8,0.019100,295.743400,295.743400
0x789,2958,4,0.001000,295.725300,295.725300
0x78A,2943,8,0.067000,294.268800,294.268800
0x797,2958,4,0.098700,295.822000,295.822000
0x798,2958,8,0.031100,295.755400,295.755400
0x7A8,2958,8,0.017100,295.740100,295.740100
0x7AA,3826,8,0.045100,294.285400,294.285400
0x7B1,80,8,8.469400,158.614600,158.614600
0x7B8,2958,8,0.029100,295.752100,295.752100
0x7BC,29,8,8.876500,288.894600,288.894600
0x7C8,296,8,0.527200,295.552400,295.552400
0x7E8,295,8,0.974800,294.998000,294.998000
0x7F1,148,7,1.307700,295.329300,295.329300
0x7F4,2956,1,0.002600,295.525800,295.525800
0x7FF,2956,8,0.002800,295.526000,295.526000
