time_s,signal_key,value,raw_hex
19.178700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d dd 00
19.278700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d dc 00
19.478600,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d dc 00
19.578500,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d dc 00
20.379000,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d e1 00
20.478900,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d d7 00
20.679000,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d e2 00
20.778700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d dd 00
21.078700,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d e9 00
21.178700,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d e2 00
21.978900,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d e8 00
22.078900,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d e3 00
22.378900,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d ea 00
22.578900,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d e1 00
22.779400,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d e0 00
22.878900,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d df 00
23.079100,PCS_dcdcHvBusVolt,178.271484375,0f 05 d3 0d d5 00
23.178900,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d d6 00
24.178700,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d d7 00
24.379000,PCS_dcdcHvBusVolt,187.646484375,14 05 d4 0d d3 00
24.479000,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d d8 00
24.578900,PCS_dcdcHvBusVolt,187.646484375,15 05 d4 0d df 00
25.779800,PCS_dcdcHvBusVolt,178.271484375,16 05 d3 0d d9 00
25.879100,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d de 00
25.978800,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d db 00
26.079300,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d dd 00
26.178900,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d df 00
26.279200,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d da 00
27.379000,PCS_dcdcHvBusVolt,178.271484375,16 05 d3 0d da 00
27.478900,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d dd 00
27.779000,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d dc 00
27.879000,PCS_dcdcHvBusVolt,187.646484375,14 05 d4 0d dc 00
27.978700,PCS_dcdcHvBusVolt,178.271484375,14 05 d3 0d dc 00
28.079000,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d df 00
29.378300,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d de 00
29.578300,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d dc 00
29.678500,PCS_dcdcHvBusVolt,178.271484375,15 05 d3 0d 32 01
29.778300,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d 21 01
29.978300,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d 23 01
30.277800,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d ce 00
30.777900,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c4 00
30.877800,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d c6 00
31.277800,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c2 00
31.478400,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d c1 00
31.778600,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c3 00
31.978000,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d c9 00
32.079300,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d c6 00
32.178400,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d c7 00
32.777900,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d c5 00
32.977900,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d bd 00
33.177900,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c3 00
33.277800,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d b7 00
33.978000,PCS_dcdcHvBusVolt,178.271484375,0f 05 d3 0d bf 00
34.077700,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d c0 00
34.877800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d c3 00
34.977800,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d c2 00
35.277800,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bf 00
35.377800,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d c3 00
35.477600,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d c6 00
35.677700,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d c6 00
35.877700,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d c4 00
36.077700,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d bf 00
36.477700,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d ba 00
36.677400,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d be 00
36.777600,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bd 00
36.977600,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d bd 00
37.077500,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d bd 00
37.277400,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d b8 00
38.077300,PCS_dcdcHvBusVolt,178.271484375,10 05 d3 0d b9 00
38.177600,PCS_dcdcHvBusVolt,187.646484375,10 05 d4 0d b8 00
38.677500,PCS_dcdcHvBusVolt,178.271484375,11 05 d3 0d bc 00
38.777300,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d b9 00
39.277300,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d ba 00
39.377300,PCS_dcdcHvBusVolt,187.646484375,17 05 d4 0d b7 00
39.977300,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d b7 00
40.077300,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d ba 00
40.877200,PCS_dcdcHvBusVolt,178.271484375,12 05 d3 0d bc 00
40.977200,PCS_dcdcHvBusVolt,187.646484375,11 05 d4 0d ba 00
41.677000,PCS_dcdcHvBusVolt,178.271484375,13 05 d3 0d c0 00
41.777200,PCS_dcdcHvBusVolt,187.646484375,13 05 d4 0d c2 00
41.877400,PCS_dcdcHvBusVolt,178.271484375,15 05 d3 0d bc 00
41.977200,PCS_dcdcHvBusVolt,187.646484375,12 05 d4 0d c0 00
