window,start_s,end_s,duration_s,criterion,DI_vehicleSpeed_n,DI_vehicleSpeed_mean,DI_vehicleSpeed_sd,DI_vehicleSpeed_min,DI_vehicleSpeed_max,DI_axleSpeed_n,DI_axleSpeed_mean,DI_axleSpeed_sd,DI_axleSpeed_min,DI_axleSpeed_max,DI_accelPedalPos_n,DI_accelPedalPos_mean,DI_accelPedalPos_sd,DI_accelPedalPos_min,DI_accelPedalPos_max,DI_torqueCommand_n,DI_torqueCommand_mean,DI_torqueCommand_sd,DI_torqueCommand_min,DI_torqueCommand_max,DI_torqueActual_n,DI_torqueActual_mean,DI_torqueActual_sd,DI_torqueActual_min,DI_torqueActual_max,DI_elecPower_n,DI_elecPower_mean,DI_elecPower_sd,DI_elecPower_min,DI_elecPower_max,BMS_packVoltage_n,BMS_packVoltage_mean,BMS_packVoltage_sd,BMS_packVoltage_min,BMS_packVoltage_max,BMS_packCurrent_n,BMS_packCurrent_mean,BMS_packCurrent_sd,BMS_packCurrent_min,BMS_packCurrent_max,PackPower_derived_n,PackPower_derived_mean,PackPower_derived_sd,PackPower_derived_min,PackPower_derived_max,torque_pairs,torque_mae_Nm,torque_bias_Nm
计划20段,45.0,75.0,30.0,脚本名义保持段；包含明显调速,1500,19.778826666666667,1.2099885219657625,17.6,20.96,300,158.53966666666668,9.716590274142241,141.1,169.4,3000,11.252,1.7820332956111307,0.0,12.8,300,80.13333333333334,59.137654859000136,-88.0,216.0,300,80.20666666666666,59.128537573286515,-88.0,218.0,3000,1.3785,1.0047326758894626,-1.5,3.5,3000,346.91428,0.2941616589564318,346.29,347.71,3000,5.523366666666667,2.923579540943298,-3.0,11.8,3000,1.9153488643333334,1.0133751416851366,-1.0428000000000002,4.089880000000001,300,0.38,0.07333333333333333
20带内最长连续段,56.2764,74.995301,18.718900999999995,19～21 km/h识别带；右端含末样本,937,20.603884738527217,0.45217116397225854,19.04,20.96,187,165.21550802139038,3.639360749781197,153.4,169.4,1872,12.245940170940171,1.0174254065821953,0.0,12.8,187,96.07486631016043,31.079245948469254,-22.0,176.0,187,96.09625668449198,30.98199126555672,-12.0,176.0,1872,1.703792735042735,0.5262871236581957,-0.5,3.0,1872,346.77654914529916,0.16779061324291072,346.33,347.57,1872,6.495352564102564,1.4966039846297567,0.5,10.4,1872,2.2522261362179488,0.5181259452086934,0.173725,3.602144,187,0.2994652406417112,0.0213903743315508
计划40段,145.0,175.0,30.0,脚本名义保持段；未连续稳定在40附近,1500,37.18042666666667,3.7087740047023017,29.120000000000005,43.44,300,297.24033333333335,29.820052647319205,231.70000000000002,349.1,3001,16.624725091636122,4.849938951174901,0.0,23.6,300,20.813333333333333,201.92660008582877,-596.0,362.0,300,20.58,202.06143521216512,-606.0,368.0,3001,0.8125624791736088,6.140090001764507,-14.0,11.0,3000,346.60911,1.3559560616898074,344.22,350.04,3000,4.3508000000000004,17.972286610964858,-38.300000000000004,34.5,3000,1.4839204793333334,6.219248099557279,-13.401553000000002,11.887319999999999,300,1.2333333333333334,-0.23333333333333334
40带内最长连续段,158.1487,161.469401,3.320701000000014,38～42 km/h识别带；右端含末样本,167,40.16191616766467,1.1766006725617404,38.0,42.0,34,322.47058823529414,9.113839812316623,305.6,338.20000000000005,332,22.17710843373494,0.5082038537012722,20.8,22.8,34,286.8235294117647,29.641456053220754,220.0,328.0,34,286.52941176470586,30.760206621846432,208.0,328.0,332,9.721385542168674,0.7761081518740987,7.5,11.0,332,344.5925903614458,0.1295424325648127,344.26,344.96,332,30.674397590361448,2.214963066078209,24.700000000000003,33.9,332,10.569962222891567,0.7603446671977552,8.518536,11.678211,34,0.7647058823529411,-0.29411764705882354
