dbc_source,can_id,message,dbc_dlc,signal,start_bit,bit_length,byte_order,signed,scale,offset,unit,multiplexer_signal,multiplexer_ids,asc_frame_count,asc_dlc
dbc/Model3CAN.dbc,0x201,ID201VCFRONT_loggingAndVitals10Hz,8,VCFRONT_compressorState,24,2,little_endian,False,1,0,,VCFRONT_loggingAndVitals10HzInde,2,11988,8
dbc/Model3CAN.dbc,0x118,ID118DriveSystemStatus,8,DI_systemState,16,3,little_endian,False,1,0,,,,10683,8
dbc/Model3CAN.dbc,0x118,ID118DriveSystemStatus,8,DI_gear,21,3,little_endian,False,1,0,,,,10683,8
dbc/tesla_can (1).dbc,0x118,DI_torque2,6,DI_gear,12,3,little_endian,False,1,0,,,,10683,8
dbc/tesla_can (1).dbc,0x368,DI_state,8,DI_systemState,0,3,little_endian,False,1,0,,,,107,8
dbc/tesla_can.dbc,0x118,DI_torque2,6,DI_gear,12,3,little_endian,False,1,0,,,,10683,8
dbc/tesla_can.dbc,0x368,DI_state,8,DI_systemState,0,3,little_endian,False,1,0,,,,107,8
dbc/tesla_model3.dbc,0x332,BMS_bmbMinMax,6,BMS_modelTMax,32,8,little_endian,False,0.5,-40,DegC,BMS_bmbMinMaxMultiplexer,0,299,6
dbc/tesla_model3.dbc,0x332,BMS_bmbMinMax,6,BMS_modelTMin,40,8,little_endian,False,0.5,-40,DegC,BMS_bmbMinMaxMultiplexer,0,299,6
dbc/tesla_model3.dbc,0x132,BMS_hvBusStatus,8,BMS_packVoltage,0,16,little_endian,False,0.01,0,V,,,29973,6
dbc/tesla_model3.dbc,0x132,BMS_hvBusStatus,8,BMS_packCurrent,16,15,little_endian,True,0.1,-1000,A,,,29973,6
dbc/tesla_model3.dbc,0x292,BMS_socStatus,8,BMS_socUI,10,10,little_endian,False,0.1,0,%,,,2997,8
dbc/tesla_model3.dbc,0x212,BMS_status,8,BMS_hvacPowerRequest,0,1,little_endian,False,1,0,,,,2997,8
